task,method,metric,mean,std,median,ci_low,ci_high
iid,cv_A,linear_capacity,1.2355673286806768,0.17953384549232818,1.2676960773709172,1.114993018746975,1.312155981009233
iid,cv_A,nonlinear_capacity,0.10946581165404753,0.08197777002831869,0.10576665202236385,0.06147089534179,0.15671494094339256
iid,cv_A,seconds,0.3352121999982046,0.07156351702253926,0.3401129999983823,0.29114654574736054,0.3752527022508729
iid,cv_A,effective_rank,2.661605408122693,0.3530754539468808,2.762033597504095,2.4655548984271918,2.872926107542946
iid,cv_A,linear_1,0.527820587736257,0.12337457543938879,0.5606556170483835,0.4456380554972372,0.5751748912261714
iid,cv_A,quadratic_1,-0.026518484349641925,0.014209684670869362,-0.02749384908195207,-0.034429911760782625,-0.017164210098304558
iid,cv_A,linear_2,0.2752482035056619,0.01582701653146962,0.27926500099927143,0.2645372538772455,0.2829019563858479
iid,cv_A,quadratic_2,-0.0756494956375213,0.0464646599734656,-0.07379707354859666,-0.10243984060839367,-0.04867479316478906
iid,cv_A,linear_3,0.2929889802927238,0.017724655171651636,0.29901530132232135,0.2809875443385896,0.3012193027905494
iid,cv_A,quadratic_3,-0.09994720620232414,0.04369567229347999,-0.1017276371082736,-0.12546813207513535,-0.07428261753493844
iid,cv_A,linear_4,0.13950955714603427,0.04015816429586505,0.13725466664718544,0.11606642133420204,0.16243618368727158
iid,cv_A,quadratic_4,-0.02945373861833156,0.05073193240474578,-0.02526776681702647,-0.06148232759474869,-0.002029310918203485
iid,cv_A,cross_1_2,-0.05871044011006865,0.10116876738721715,-0.028272840496758045,-0.11996131844438668,-0.0017588593392170847
iid,cv_A,cross_1_3,-0.06622880705821234,0.059433152131000845,-0.05711346002905093,-0.10147664926416332,-0.03086649714473552
iid,cv_A,cross_1_4,-0.2305915782495092,0.04212023070140429,-0.25117310142386284,-0.25387198148995854,-0.20556207788914155
iid,cv_A,cross_2_3,0.0530696271192322,0.04092093370020919,0.04775390961827286,0.02900250572825287,0.07664467279616166
iid,cv_A,cross_2_4,-0.10157921432773498,0.08272403986589541,-0.13451157213782727,-0.14927448872649687,-0.051489556401046854
iid,cv_A,cross_3_4,-0.015718388204048972,0.0920868860074233,-0.033522123978457885,-0.0706962178301057,0.0362392738269491
iid,cv_A,parity,-0.028080148417715934,0.017568200127917016,-0.029283806862412165,-0.038432989811974995,-0.018529388773946335
iid,cv_A,narma10,0.45657040350510636,0.030145074395377565,0.4570955792367029,0.4388198679799,0.4747608515100169
iid,cv_B,linear_capacity,1.200093641750883,0.22649530779814173,1.2404166989784313,1.046948282323259,1.2954811141944693
iid,cv_B,nonlinear_capacity,0.13802619671579047,0.07164498583504167,0.1374872360114272,0.09764222061298068,0.1794558069434581
iid,cv_B,seconds,0.49530163999879734,0.12017339485824054,0.49280525000358466,0.4218288659978498,0.5650390859978507
iid,cv_B,effective_rank,2.7385072417104643,0.35568722790715834,2.7982611503054238,2.531298523318518,2.950006928521939
iid,cv_B,linear_1,0.5168859342630487,0.14029394154801705,0.5556721838641243,0.42388064417737764,0.5704153222356336
iid,cv_B,quadratic_1,-0.06249145319475813,0.033029771424922284,-0.055628948245361465,-0.08244223974254677,-0.043099686206449404
iid,cv_B,linear_2,0.27225051235548337,0.020001421404380607,0.2783555851916265,0.25886266290893245,0.2813289079401304
iid,cv_B,quadratic_2,-0.08413719585789255,0.0386163777428891,-0.0913382385161422,-0.10656849265903542,-0.06153422903193657
iid,cv_B,linear_3,0.28293379601396407,0.034745287624838896,0.29436412350013136,0.2596720973123647,0.2975589080066166
iid,cv_B,quadratic_3,-0.04834346313623369,0.042662910444537155,-0.05687301644719944,-0.07140936640500672,-0.02414447076559881
iid,cv_B,linear_4,0.128023399118387,0.04731758570564044,0.12450067650057234,0.09943564195370078,0.1543983009418445
iid,cv_B,quadratic_4,-0.007998625671169213,0.048117498861012166,0.001145404531837313,-0.03699552893918458,0.018616903270223122
iid,cv_B,cross_1_2,-0.05611785297242065,0.08408983017217872,-0.045735239698581065,-0.10585083000267591,-0.00864472535837726
iid,cv_B,cross_1_3,-0.011712054515700964,0.05453296168478226,-0.00231260384086851,-0.04340242001537379,0.01962163936151555
iid,cv_B,cross_1_4,-0.3798324557478271,0.10953599789025913,-0.4056127636039196,-0.44065423634410955,-0.31643395948818726
iid,cv_B,cross_2_3,0.09003379679212163,0.03830814494559059,0.09118999403997474,0.06690404000933257,0.11041828583186934
iid,cv_B,cross_2_4,-0.060849134157951054,0.06968219341930701,-0.06644309045140528,-0.101424536834742,-0.020903240404529344
iid,cv_B,cross_3_4,-0.13756847568104796,0.09538612613206145,-0.14200088750057882,-0.19555863455560268,-0.08346282677930023
